catalog-number,class-info,class-info href,class-info 2,class-section,class-days,time,ENRL/MAX,class-status
AAS 201 / PHI 291,African American Studies and the Philosophy of Race,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015230,Class #20012,L01,M W,12:30 pm - 01:20 pm,108/127,
AAS 300,Junior Seminar: Research and Writing in African American Studies,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014652,Class #20019,S01,T,01:30 pm - 04:20 pm,10-Oct,Closed
AAS 302 / SOC 303 / ANT 378 / GHP 302,Political Bodies: The Social Anatomy of Power & Difference,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=013482,Class #23620,S01,W,01:30 pm - 04:20 pm,0/0,Canceled
AAS 303 / HUM 306 / GSS 406,Topics in Global Race and Ethnicity: Scientific Racism: Then and Now,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014930,Class #22092,S01,T Th,08:30 am - 09:50 am,20/15,Closed
AAS 306 / AMS 305,Topics in Race and Public Policy: Race and Inequality in American Democracy,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014970,Class #23157,S01,M W,11:00 am - 12:20 pm,13/13,Closed
AAS 313 / HIS 213 / LAS 377,Modern Caribbean History,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=014422,Class #23621,L01,M W,10:00 am - 10:50 am,0/0,Canceled
AAS 326 / ENG 286,Topics in African American Culture & Life: Early African American Literature,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015362,Class #23190,L01,T Th,10:00 am - 10:50 am,19/21,Closed
AAS 339 / EGR 339,"Black Mirror: Race, Technology, and Justice",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=015676,Class #22594,S01,M,01:30 pm - 03:20 pm,17/18,Closed
AAS 351 / GSS 351,"Law, Social Policy, and African American Women",https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=010574,Class #23618,L01,T Th,10:00 am - 10:50 am,0/0,Canceled
AAS 353 / ENG 352,African American Literature: Origins to 1910,https://registrar.princeton.edu/course-offerings/course-details?term=1212&courseid=000008,Class #20008,L01,T Th,10:00 am - 10:50 am,0/0,Canceled
